supplier,product_reference,order_units,destination,criterion,status,evidence_reference,verified_date,conditions,next_question,owner
,,,,product_specification,unknown,,,,,
,,,,label_approval,unknown,,,,,
,,,,product_documents,unknown,,,,,
,,,,destination_eligibility,unknown,,,,,
,,,,order_quantity_limits,unknown,,,,,
,,,,product_and_setup_cost,unknown,,,,,
,,,,fulfillment_cost,unknown,,,,,
,,,,shipping_and_duties,unknown,,,,,
,,,,stock_confirmation,unknown,,,,,
,,,,integration_availability,unknown,,,,,
,,,,duplicate_order_handling,unknown,,,,,
,,,,dispatch_and_tracking,unknown,,,,,
,,,,returns_process,unknown,,,,,
